                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5326,                 4.7858,                0.99714,                      0,                      0,                      0,                      0,                0.95264,                 5.5761,                 1.0715,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.4682,                 4.6784,                0.96672,                      0,                      0,                      0,                      0,                  1.002,                  5.629,                 1.0649,               0.093693,             0.00069307,             0.00069307
                      2,                 1.2531,                 4.2071,                0.93819,                0.00252,                   0.16,                0.00259,                0.00112,                 1.0712,                 5.2025,                 1.0236,               0.090078,              0.0010782,              0.0010782
                      3,                 1.0783,                 3.2335,                0.92132,                0.75672,                0.12104,                0.14852,                0.07874,                 1.0847,                 3.7548,                0.94775,               0.086455,              0.0014555,              0.0014555
                      4,                 1.0081,                 1.8878,                0.85391,                0.82045,                0.49476,                0.52986,                0.36867,                0.96997,                  2.038,                0.90288,               0.082825,              0.0018248,              0.0018248
                      5,                  0.861,                 1.1082,                0.84833,                0.87073,                0.54888,                0.59489,                0.40551,                 1.0322,                 1.7768,                0.90857,               0.079186,              0.0021861,              0.0021861
                      6,                0.88375,                 0.9413,                0.87255,                0.66498,                0.85557,                0.82181,                0.60665,                0.92057,                    1.3,                0.88689,                0.07554,              0.0025396,              0.0025396
                      7,                0.92706,                0.88476,                0.84958,                0.73813,                0.94882,                0.92407,                0.70844,                0.87034,                 1.0371,                0.88317,               0.071885,              0.0028852,              0.0028852
                      8,                0.91004,                0.78328,                0.84087,                0.73322,                0.95895,                0.94476,                0.70086,                0.96288,                  1.148,                0.89538,               0.068223,              0.0032228,              0.0032228
                      9,                0.85911,                0.76684,                0.84604,                0.93062,                0.98596,                0.97274,                0.72587,                0.91729,                0.94849,                0.88429,               0.064553,              0.0035525,              0.0035525
                     10,                0.94255,                0.80973,                0.85025,                0.92006,                0.98116,                0.98294,                0.68896,                 1.0348,                0.91091,                0.89365,               0.060874,              0.0038743,              0.0038743
                     11,                0.99684,                 0.8118,                0.85479,                0.88521,                0.98452,                0.98805,                0.70355,                0.93614,                0.94008,                0.88296,               0.057188,              0.0041882,              0.0041882
                     12,                 1.0616,                0.82505,                0.86814,                0.96003,                0.97901,                  0.985,                 0.7532,                0.94823,                0.77972,                0.89206,               0.053494,              0.0044941,              0.0044941
                     13,                 1.0094,                0.75533,                0.87039,                0.92701,                      1,                   0.99,                0.68464,                0.94439,                0.92494,                 0.8809,               0.049792,              0.0047922,              0.0047922
                     14,                 1.0526,                0.80708,                0.85808,                0.95246,                0.96798,                0.97803,                0.69988,                0.94304,                0.87016,                0.88593,               0.046082,              0.0050823,              0.0050823
                     15,                 1.0066,                0.82237,                0.86662,                0.95246,                0.96798,                0.97803,                0.69988,                0.94304,                0.87016,                0.88593,               0.042364,              0.0053644,              0.0053644
                     16,                  1.048,                0.89684,                0.86282,                 0.9375,                      1,                0.96095,                0.62674,                 1.0861,                 1.1472,                0.90264,               0.038639,              0.0056387,              0.0056387
                     17,                 1.0763,                0.91129,                0.90113,                0.96491,                      1,                0.98337,                0.69443,                 1.0878,                0.86855,                0.92021,               0.034905,              0.0059051,              0.0059051
                     18,                 1.0601,                0.74059,                0.87162,                0.96491,                      1,                0.98337,                0.69443,                 1.0878,                0.86855,                0.92021,               0.031163,              0.0061635,              0.0061635
                     19,                 1.2521,                0.74901,                0.90791,                0.95857,                      1,                  0.985,                0.68744,                 1.1264,                0.75472,                0.93464,               0.027414,               0.006414,               0.006414
                     20,                  1.223,                0.82611,                0.92745,                0.86157,                0.96382,                0.98925,                0.71481,                 1.0636,                0.80706,                0.93484,               0.023657,              0.0066566,              0.0066566
                     21,                 1.0716,                  1.098,                0.89668,                0.86157,                0.96382,                0.98925,                0.71481,                 1.0636,                0.80706,                0.93484,               0.019891,              0.0068913,              0.0068913
                     22,                 1.0526,                0.91294,                0.86894,                0.96602,                      1,                0.99175,                0.72637,                0.98036,                0.76016,                0.92537,               0.016118,               0.007118,               0.007118
                     23,                 1.0259,                0.78095,                0.90453,                0.96602,                      1,                0.99175,                0.72637,                0.98036,                0.76016,                0.92537,               0.012337,              0.0073369,              0.0073369
                     24,                 1.0139,                0.88473,                0.90124,                0.93237,                      1,                 0.9925,                 0.6594,                 1.1598,                0.88273,                 0.9498,              0.0085478,              0.0075478,              0.0075478
                     25,                 1.1734,                 1.0873,                0.90924,                0.93237,                      1,                 0.9925,                 0.6594,                 1.1598,                0.88273,                 0.9498,               0.007525,               0.007525,               0.007525
                     26,                 1.0327,                 1.0634,                0.90372,                0.96767,                0.98704,                0.99338,                0.73212,                 1.0029,                0.85597,                0.91954,               0.007525,               0.007525,               0.007525
                     27,                0.98086,                0.72851,                0.88666,                0.96767,                0.98704,                0.99338,                0.73212,                 1.0029,                0.85597,                0.91954,               0.007426,               0.007426,               0.007426
                     28,                0.97834,                0.77848,                0.91088,                0.91542,                0.97719,                0.99087,                0.70606,                 1.0523,                0.83673,                0.93179,               0.007327,               0.007327,               0.007327
                     29,                 1.1015,                 0.9071,                0.90697,                0.91542,                0.97719,                0.99087,                0.70606,                 1.0523,                0.83673,                0.93179,               0.007228,               0.007228,               0.007228
                     30,                 1.2404,                0.92317,                0.89825,                0.95008,                      1,                 0.9875,                0.66594,                 1.1558,                0.70061,                0.96325,               0.007129,               0.007129,               0.007129
                     31,                 1.2317,                0.76445,                0.91791,                0.95008,                      1,                 0.9875,                0.66594,                 1.1558,                0.70061,                0.96325,                0.00703,                0.00703,                0.00703
                     32,                 1.1404,                0.70236,                 0.9042,                 0.9155,                      1,                  0.975,                0.75269,                0.93097,                 0.6969,                0.91134,               0.006931,               0.006931,               0.006931
                     33,                 1.0016,                0.69939,                0.87994,                 0.9155,                      1,                  0.975,                0.75269,                0.93097,                 0.6969,                0.91134,               0.006832,               0.006832,               0.006832
                     34,                 1.0544,                0.73309,                0.87667,                0.93377,                      1,                0.98504,                0.71933,                 1.0645,                0.69188,                0.94607,               0.006733,               0.006733,               0.006733
                     35,                0.98988,                0.65818,                0.90086,                0.93377,                      1,                0.98504,                0.71933,                 1.0645,                0.69188,                0.94607,               0.006634,               0.006634,               0.006634
                     36,                 1.0558,                0.67644,                0.89869,                0.96534,                0.99522,                  0.985,                 0.6533,                 1.1615,                0.70186,                0.95157,               0.006535,               0.006535,               0.006535
                     37,                  1.161,                0.72771,                0.89422,                0.96534,                0.99522,                  0.985,                 0.6533,                 1.1615,                0.70186,                0.95157,               0.006436,               0.006436,               0.006436
                     38,                   1.02,                0.70039,                0.91993,                0.97287,                      1,                0.98837,                0.72591,                0.96123,                0.73684,                0.92583,               0.006337,               0.006337,               0.006337
                     39,                0.90062,                0.68129,                0.87919,                0.97287,                      1,                0.98837,                0.72591,                0.96123,                0.73684,                0.92583,               0.006238,               0.006238,               0.006238
                     40,                0.90305,                0.67029,                0.89717,                0.96735,                      1,                0.98425,                0.72878,                0.97955,                0.64557,                0.92741,               0.006139,               0.006139,               0.006139
                     41,                  1.003,                0.68216,                0.88514,                0.96735,                      1,                0.98425,                0.72878,                0.97955,                0.64557,                0.92741,                0.00604,                0.00604,                0.00604
                     42,                0.97663,                0.73995,                0.88688,                0.97596,                      1,                0.98675,                 0.7099,                 0.9928,                0.85074,                0.92258,               0.005941,               0.005941,               0.005941
                     43,                0.95449,                 0.6544,                0.88147,                0.97596,                      1,                0.98675,                 0.7099,                 0.9928,                0.85074,                0.92258,               0.005842,               0.005842,               0.005842
                     44,                0.95105,                0.66158,                 0.8775,                0.96205,                      1,                0.98337,                0.72341,                0.96355,                0.57713,                0.91313,               0.005743,               0.005743,               0.005743
                     45,                0.93217,                 0.6052,                0.88504,                0.96205,                      1,                0.98337,                0.72341,                0.96355,                0.57713,                0.91313,               0.005644,               0.005644,               0.005644
                     46,                0.93571,                0.59549,                0.87625,                0.91808,                0.99677,                0.96433,                0.70031,                  1.041,                0.70083,                0.92226,               0.005545,               0.005545,               0.005545
                     47,                0.98285,                0.62075,                0.87849,                0.91808,                0.99677,                0.96433,                0.70031,                  1.041,                0.70083,                0.92226,               0.005446,               0.005446,               0.005446
                     48,                0.93674,                 0.5999,                0.87096,                0.97287,                      1,                0.98425,                0.72064,                0.92864,                0.55154,                0.91239,               0.005347,               0.005347,               0.005347
                     49,                0.88637,                0.57748,                0.88351,                0.97287,                      1,                0.98425,                0.72064,                0.92864,                0.55154,                0.91239,               0.005248,               0.005248,               0.005248
                     50,                0.90551,                0.56101,                0.87551,                0.97439,                      1,                 0.9875,                 0.7523,                0.96903,                0.57936,                0.90845,               0.005149,               0.005149,               0.005149
                     51,                0.92563,                0.53464,                0.87845,                0.97439,                      1,                 0.9875,                 0.7523,                0.96903,                0.57936,                0.90845,                0.00505,                0.00505,                0.00505
                     52,                 0.9312,                0.53116,                0.87814,                0.97648,                      1,                0.99175,                0.71295,                0.90244,                 0.5693,                0.90273,               0.004951,               0.004951,               0.004951
                     53,                 1.0085,                0.59182,                0.85742,                0.97648,                      1,                0.99175,                0.71295,                0.90244,                 0.5693,                0.90273,               0.004852,               0.004852,               0.004852
                     54,                0.85524,                0.56334,                0.87321,                0.97029,                      1,                 0.9925,                0.74439,                0.96899,                0.57796,                0.90735,               0.004753,               0.004753,               0.004753
                     55,                0.86923,                0.55005,                 0.8692,                0.97029,                      1,                 0.9925,                0.74439,                0.96899,                0.57796,                0.90735,               0.004654,               0.004654,               0.004654
                     56,                0.92505,                0.55661,                0.85843,                0.97588,                      1,                0.99425,                0.74495,                 0.8982,                0.53096,                0.90071,               0.004555,               0.004555,               0.004555
                     57,                0.90679,                0.54762,                0.88473,                0.97588,                      1,                0.99425,                0.74495,                 0.8982,                0.53096,                0.90071,               0.004456,               0.004456,               0.004456
                     58,                 0.9387,                0.56278,                0.85082,                0.97481,                      1,                0.99425,                0.74516,                0.94513,                0.53957,                0.90197,               0.004357,               0.004357,               0.004357
                     59,                0.85847,                0.51766,                0.86761,                0.97481,                      1,                0.99425,                0.74516,                0.94513,                0.53957,                0.90197,               0.004258,               0.004258,               0.004258
                     60,                0.88573,                0.53645,                0.87867,                0.97639,                      1,                0.99338,                0.75377,                 1.0018,                0.52875,                0.91038,               0.004159,               0.004159,               0.004159
                     61,                0.86469,                0.55584,                0.87505,                0.97639,                      1,                0.99338,                0.75377,                 1.0018,                0.52875,                0.91038,                0.00406,                0.00406,                0.00406
                     62,                0.86509,                0.54293,                0.85539,                0.97284,                      1,                0.99087,                0.76585,                0.87262,                0.46846,                0.89688,               0.003961,               0.003961,               0.003961
                     63,                0.83891,                0.54768,                0.87995,                0.97284,                      1,                0.99087,                0.76585,                0.87262,                0.46846,                0.89688,               0.003862,               0.003862,               0.003862
                     64,                0.81194,                0.49953,                0.85816,                 0.9759,                      1,                0.98925,                0.74358,                0.90224,                 0.5155,                0.89844,               0.003763,               0.003763,               0.003763
                     65,                0.82021,                0.52252,                0.85145,                 0.9759,                      1,                0.98925,                0.74358,                0.90224,                 0.5155,                0.89844,               0.003664,               0.003664,               0.003664
                     66,                0.81666,                0.51314,                0.85231,                0.97398,                      1,                  0.985,                0.75084,                0.86692,                0.49532,                0.89283,               0.003565,               0.003565,               0.003565
                     67,                 0.8185,                0.49597,                 0.8841,                0.97398,                      1,                  0.985,                0.75084,                0.86692,                0.49532,                0.89283,               0.003466,               0.003466,               0.003466
                     68,                0.81585,                0.50206,                0.83801,                0.97217,                      1,                  0.985,                0.77775,                0.83636,                0.45936,                0.88887,               0.003367,               0.003367,               0.003367
                     69,                 0.8716,                0.50767,                0.86167,                0.97217,                      1,                  0.985,                0.77775,                0.83636,                0.45936,                0.88887,               0.003268,               0.003268,               0.003268
                     70,                0.80771,                 0.5164,                0.85805,                0.97367,                      1,                  0.985,                0.76085,                0.87734,                0.49296,                0.89029,               0.003169,               0.003169,               0.003169
                     71,                 0.7868,                0.47687,                   0.85,                0.97367,                      1,                  0.985,                0.76085,                0.87734,                0.49296,                0.89029,                0.00307,                0.00307,                0.00307
                     72,                0.81437,                0.48445,                0.84828,                0.97397,                      1,                  0.985,                0.78403,                0.83469,                0.45587,                0.88621,               0.002971,               0.002971,               0.002971
                     73,                 0.7975,                0.46742,                0.83655,                0.97397,                      1,                  0.985,                0.78403,                0.83469,                0.45587,                0.88621,               0.002872,               0.002872,               0.002872
                     74,                0.79342,                0.45321,                 0.8566,                0.97093,                      1,                0.98675,                0.76074,                0.89496,                0.43598,                0.88721,               0.002773,               0.002773,               0.002773
                     75,                0.82359,                0.44516,                0.85191,                0.97093,                      1,                0.98675,                0.76074,                0.89496,                0.43598,                0.88721,               0.002674,               0.002674,               0.002674
                     76,                0.82897,                0.45193,                0.83324,                0.97056,                      1,                0.98588,                0.78599,                0.79599,                0.43092,                0.88286,               0.002575,               0.002575,               0.002575
                     77,                0.76955,                0.43477,                  0.837,                0.97056,                      1,                0.98588,                0.78599,                0.79599,                0.43092,                0.88286,               0.002476,               0.002476,               0.002476
                     78,                0.80726,                0.45055,                0.84585,                 0.9712,                      1,                0.98588,                 0.7964,                0.85577,                 0.4436,                0.88624,               0.002377,               0.002377,               0.002377
                     79,                0.74188,                0.42626,                 0.8383,                 0.9712,                      1,                0.98588,                 0.7964,                0.85577,                 0.4436,                0.88624,               0.002278,               0.002278,               0.002278
                     80,                0.77281,                0.50536,                0.85144,                0.97612,                      1,                0.98588,                0.78473,                0.84456,                0.41576,                0.88363,               0.002179,               0.002179,               0.002179
                     81,                0.73733,                0.42216,                0.84631,                0.97612,                      1,                0.98588,                0.78473,                0.84456,                0.41576,                0.88363,                0.00208,                0.00208,                0.00208
                     82,                0.75253,                0.41525,                0.84562,                0.97816,                      1,                0.98588,                0.80244,                0.79764,                0.42174,                0.88295,               0.001981,               0.001981,               0.001981
                     83,                  0.751,                0.44205,                0.84367,                0.97816,                      1,                0.98588,                0.80244,                0.79764,                0.42174,                0.88295,               0.001882,               0.001882,               0.001882
                     84,                0.78469,                0.50139,                0.82797,                0.97605,                      1,                0.98588,                0.78317,                0.85422,                0.41543,                0.88668,               0.001783,               0.001783,               0.001783
                     85,                0.77295,                0.42309,                0.84501,                0.97605,                      1,                0.98588,                0.78317,                0.85422,                0.41543,                0.88668,               0.001684,               0.001684,               0.001684
                     86,                0.75393,                0.42453,                0.81889,                0.97765,                      1,                  0.985,                0.79509,                0.81976,                0.40773,                0.88243,               0.001585,               0.001585,               0.001585
                     87,                0.73534,                0.40871,                0.85586,                0.97765,                      1,                  0.985,                0.79509,                0.81976,                0.40773,                0.88243,               0.001486,               0.001486,               0.001486
                     88,                0.76862,                0.42321,                0.83595,                0.97794,                      1,                  0.985,                 0.7791,                0.82391,                0.41808,                0.87983,               0.001387,               0.001387,               0.001387
                     89,                 0.7507,                0.41719,                0.85753,                0.97794,                      1,                  0.985,                 0.7791,                0.82391,                0.41808,                0.87983,               0.001288,               0.001288,               0.001288
                     90,                0.73753,                0.40887,                 0.8661,                0.97348,                      1,                  0.985,                0.78437,                0.83487,                0.40427,                0.88077,               0.001189,               0.001189,               0.001189
                     91,                0.75035,                0.43281,                0.83118,                0.97348,                      1,                  0.985,                0.78437,                0.83487,                0.40427,                0.88077,                0.00109,                0.00109,                0.00109
                     92,                0.73634,                0.44913,                0.85214,                0.97292,                      1,                  0.985,                0.79564,                0.83304,                 0.3977,                0.87894,               0.000991,               0.000991,               0.000991
                     93,                0.73378,                 0.4146,                0.81559,                0.97292,                      1,                  0.985,                0.79564,                0.83304,                 0.3977,                0.87894,               0.000892,               0.000892,               0.000892
                     94,                0.73485,                0.44304,                0.86624,                0.97292,                      1,                0.98425,                0.79888,                0.80122,                0.39196,                0.87727,               0.000793,               0.000793,               0.000793
                     95,                0.74778,                0.39614,                0.85763,                0.97292,                      1,                0.98425,                0.79888,                0.80122,                0.39196,                0.87727,               0.000694,               0.000694,               0.000694
                     96,                0.74758,                0.40477,                0.83819,                0.97442,                      1,                0.98425,                0.80091,                0.80006,                0.38785,                0.87646,               0.000595,               0.000595,               0.000595
                     97,                0.73391,                0.44697,                0.84828,                0.97442,                      1,                0.98425,                0.80091,                0.80006,                0.38785,                0.87646,               0.000496,               0.000496,               0.000496
                     98,                0.75903,                0.40042,                0.84574,                 0.9761,                      1,                0.98425,                0.79575,                0.79179,                0.38678,                0.87538,               0.000397,               0.000397,               0.000397
                     99,                0.72239,                0.39134,                0.86655,                 0.9761,                      1,                0.98425,                0.79575,                0.79179,                0.38678,                0.87538,               0.000298,               0.000298,               0.000298
